samp_ev,exp,grp_esd,mn_ct_ml
SJR1,T24,ciliate round 14.00,0.6501124166521046
SJR1,T24,ciliate round 24.00,0.1561801049029336
SJR1,T24,ciliate round 5.50,0.0955070772413816
SJR1,T24,ciliate round 9.50,0.3765736698408275
SJR1,T24,cyanobacteria aphanizomenon 12.43,0.44150110375275936
SJR1,T24,cyanobacteria aphanizomenon 14.54,0.19816701451187307
SJR1,T24,cyanobacteria dolichospermum 12.93,0.0495687518588282
SJR1,T24,cyanobacteria dolichospermum 15.66,0.48565121412803525
SJR1,T24,diatom centric 10.87,3.900554487114575
SJR1,T24,diatom centric 16.03,0.5394056572697989
SJR1,T24,diatom centric 28.05,5.887918715270373
SJR1,T24,diatom centric 45.79,0.044150110375275935
SJR1,T24,diatom centric 6.30,3.458059877073567
SJR1,T24,diatom pennate 14.46,0.044150110375275935
SJR1,T24,diatom pennate 15.72,0.04951475539710833
SJR1,T24,diatom pennate 4.76,1.5452538631346577
SJR1,T24,diatom pennate 6.21,0.2649006622516556
SJR1,T24,diatom pennate 6.60,1.2392187964707049
SJR1,T24,diatom pennate 7.83,0.49514755397108334
SJR1,T24,flagellate NA 20.16,0.044150110375275935
SJR1,T24,flagellate other 10.43,0.13962118997551096
SJR1,T24,flagellate other 4.20,6.150043635172462
SJR1,T24,flagellate other 7.25,2.2045053418494556
SJR1,T24,unidentified flagchloro 6.60,4.978635759955921
SJR1,T24,unidentified NA 11.54,0.7435312778824229
SJR1,T24,unidentified NA 14.54,0.6932065755595167
SJR1,T24,unidentified NA 20.16,1.280353200883002
SJR1,T24,unidentified NA 27.36,0.148544266191325
SJR1,T24,unidentified round 14.00,0.17449123719648713
SJR1,T24,unidentified round 24.50,3.2359503832525576
SJR1,T24,unidentified round 40.00,0.19805902158843333
SJR1,T24,unidentified round 48.00,0.17660044150110374
SJR1,T24,unidentified round 5.50,5.799639773655243
SJR1,T24,unidentified round 9.50,0.6995551767669198
SJR2,FC,chlorophyte colonial 10.00,0.5683060109289617
SJR2,FC,chlorophyte scenedesmus 13.21,0.04357298474945534
SJR2,FC,chlorophyte scenedesmus 20.16,0.04371584699453552
SJR2,FC,chlorophyte scenedesmus 4.00,0.087527352297593
SJR2,FC,chlorophyte scenedesmus 5.04,0.4371584699453552
SJR2,FC,ciliate cone 19.05,6.579520697167756
SJR2,FC,ciliate cone 22.58,0.04357298474945534
SJR2,FC,ciliate round 14.00,1.0050696558950252
SJR2,FC,ciliate round 24.00,6.758211667922182
SJR2,FC,ciliate round 40.00,0.13129102844638948
SJR2,FC,ciliate round 5.50,0.1311636924409278
SJR2,FC,ciliate round 9.50,0.7574411392050081
SJR2,FC,cyanobacteria aphanizomenon 11.04,0.6120218579234973
SJR2,FC,cyanobacteria aphanizomenon 19.73,1.312910284463895
SJR2,FC,cyanobacteria aphanizomenon 22.58,2.7886710239651418
SJR2,FC,cyanobacteria dolichospermum 15.12,0.2185792349726776
SJR2,FC,cyanobacteria dolichospermum 19.73,0.437636761487965
SJR2,FC,diatom centric 10.87,2.504966091187637
SJR2,FC,diatom centric 16.03,1.0192761651459419
SJR2,FC,diatom centric 28.05,0.7279158584099688
SJR2,FC,diatom centric 6.30,5.549490995940279
SJR2,FC,diatom chain 19.73,0.0437636761487965
SJR2,FC,diatom pennate 11.54,0.0437636761487965
SJR2,FC,diatom pennate 15.30,0.08745560856620153
SJR2,FC,diatom pennate 25.27,0.04373976157166601
SJR2,FC,diatom pennate 4.16,0.6120218579234973
SJR2,FC,diatom pennate 4.93,1.8207020991606218
SJR2,FC,diatom pennate 9.86,0.087527352297593
SJR2,FC,diatom pennate fragillaria 38.10,0.0437636761487965
SJR2,FC,diatom pennate pleurosigma 16.97,0.13129102844638948
SJR2,FC,diatom pennate pleurosigma 25.01,0.30501089324618735
SJR2,FC,dinoflagellate peridinium 16.00,0.13114754098360656
SJR2,FC,dinoflagellate peridinium 21.25,0.26258205689277897
SJR2,FC,flagellate cryptomonas 10.43,1.8495447464272
SJR2,FC,flagellate cryptomonas 11.54,1.0038215650558948
SJR2,FC,flagellate cryptomonas 18.32,0.6564551422319475
SJR2,FC,flagellate cryptomonas 4.20,0.5246705044092306
SJR2,FC,flagellate cryptomonas 7.25,3.104451292141334
SJR2,FC,flagellate other 4.20,11.97516051748123
SJR2,FC,flagellate other 7.25,1.1218202046342751
SJR2,FC,unidentified NA 12.00,0.26258205689277897
SJR2,FC,unidentified NA 14.54,0.08714596949891068
SJR2,FC,unidentified NA 34.47,0.0437636761487965
SJR2,FC,unidentified NA 7.96,0.30601092896174864
SJR2,FC,unidentified round 24.50,0.15307720821226578
SJR2,FC,unidentified round 5.50,4.035213094642929
SJR2,FC,unidentified round 9.50,0.7720605005456458
SJR2,IC,chlorophyte scenedesmus 20.16,0.04362070913382923
SJR2,IC,chlorophyte scenedesmus 4.00,0.17429214581778352
SJR2,IC,chlorophyte scenedesmus 7.96,0.39344262295081966
SJR2,IC,ciliate cone 19.05,1.9331829832647605
SJR2,IC,ciliate cone 22.58,0.17486338797814208
SJR2,IC,ciliate oblong 16.64,0.04371584699453552
SJR2,IC,ciliate round 14.00,0.4068723642923617
SJR2,IC,ciliate round 40.00,0.1090037889080991
SJR2,IC,ciliate round 5.50,0.043525571273122954
SJR2,IC,ciliate round 9.50,0.3633782981414137
SJR2,IC,cyanobacteria aphanizomenon 19.73,1.1634386160984296
SJR2,IC,cyanobacteria dolichospermum 19.73,1.2240437158469946
SJR2,IC,diatom centric 10.87,1.947880537755518
SJR2,IC,diatom centric 16.03,0.8147276123139611
SJR2,IC,diatom centric 28.05,1.1337243059339557
SJR2,IC,diatom centric 45.79,0.08743169398907104
SJR2,IC,diatom centric 6.30,6.207621413702139
SJR2,IC,diatom chain 25.52,0.13114754098360656
SJR2,IC,diatom chain 26.94,0.17448200654307525
SJR2,IC,diatom pennate 12.93,0.08724100327153762
SJR2,IC,diatom pennate 15.66,0.04371584699453552
SJR2,IC,diatom pennate 16.29,0.13057671381936886
SJR2,IC,diatom pennate 18.32,0.043525571273122954
SJR2,IC,diatom pennate 26.04,0.08724100327153762
SJR2,IC,diatom pennate 3.63,0.26229508196721313
SJR2,IC,diatom pennate 3.91,0.6319276915427726
SJR2,IC,diatom pennate 4.93,2.2463238136011467
SJR2,IC,diatom pennate 6.21,2.3555070883315157
SJR2,IC,diatom pennate 7.27,0.7399347116430902
SJR2,IC,diatom pennate 7.83,0.08724100327153762
SJR2,IC,diatom pennate pleurosigma 12.44,0.5245901639344263
SJR2,IC,diatom pennate pleurosigma 16.97,0.13057671381936886
SJR2,IC,diatom pennate pleurosigma 19.43,0.17448200654307525
SJR2,IC,dinoflagellate peridinium 24.00,0.2763274322592484
SJR2,IC,flagellate colonial 16.00,0.04362050163576881
SJR2,IC,flagellate cryptomonas 10.43,2.2983051296890222
SJR2,IC,flagellate cryptomonas 11.54,1.090230239783008
SJR2,IC,flagellate cryptomonas 17.93,0.043525571273122954
SJR2,IC,flagellate cryptomonas 4.20,5.785129684785568
SJR2,IC,flagellate cryptomonas 7.25,7.022860577901076
SJR2,IC,flagellate other 4.20,6.469009763728292
SJR2,IC,flagellate other 7.25,1.7162843096665001
SJR2,IC,tintinnid agglutinated 26.42,0.04371584699453552
SJR2,IC,tintinnid agglutinated 33.28,0.04362050163576881
SJR2,IC,unidentified NA 10.00,0.26229508196721313
SJR2,IC,unidentified round 14.00,0.17467269726060866
SJR2,IC,unidentified round 24.50,0.5087806619208445
SJR2,IC,unidentified round 28.00,0.17486338797814208
SJR2,IC,unidentified round 5.50,7.2260401541125265
SJR2,IC,unidentified round 9.50,1.4250362970845438
SJR2,site,chlorophyte scenedesmus 4.00,0.4374453193350831
SJR2,site,ciliate cone 14.54,1.249843769528809
SJR2,site,ciliate round 14.00,0.18747656542932134
SJR2,site,ciliate round 24.00,0.2499687539057618
SJR2,site,cyanobacteria other 25.27,0.4999375078115236
SJR2,site,diatom centric 10.87,3.8120234970628672
SJR2,site,diatom centric 16.03,2.8746406699162605
SJR2,site,diatom centric 28.05,1.8747656542932134
SJR2,site,diatom centric 6.30,10.123734533183352
SJR2,site,diatom chain 11.54,0.06249218847644045
SJR2,site,diatom chain 129.07,0.06249218847644045
SJR2,site,diatom chain 23.75,0.06249218847644045
SJR2,site,diatom pennate 31.51,0.06249218847644045
SJR2,site,diatom pennate 4.93,3.8120234970628672
SJR2,site,diatom pennate 42.77,0.18747656542932134
SJR2,site,diatom pennate 5.45,0.562429696287964
SJR2,site,diatom pennate pleurosigma 16.97,0.1249843769528809
SJR2,site,flagellate cryptomonas 10.43,2.6246719160104988
SJR2,site,flagellate cryptomonas 11.54,1.4373203349581303
SJR2,site,flagellate cryptomonas 4.20,20.74740657417823
SJR2,site,flagellate cryptomonas 7.25,6.99912510936133
SJR2,site,flagellate NA 10.08,0.7499062617172854
SJR2,site,flagellate other 4.20,18.37270341207349
SJR2,site,flagellate other 7.25,2.4371953505811774
SJR2,site,tintinnid hyaline 38.56,0.06249218847644045
SJR2,site,unidentified NA 20.16,3.062117235345582
SJR2,site,unidentified NA 43.43,0.4374453193350831
SJR2,site,unidentified round 24.50,1.124859392575928
SJR2,site,unidentified round 5.50,8.873890763654543
SJR2,site,unidentified round 56.00,0.06249218847644045
SJR2,site,unidentified round 9.50,1.812273465816773
SJR2,T24,chlorophyte scenedesmus 4.00,0.08724100327153762
SJR2,T24,chlorophyte scenedesmus 4.58,0.043525571273122954
SJR2,T24,chlorophyte scenedesmus 5.04,0.26229508196721313
SJR2,T24,ciliate cone 19.05,2.050163576881134
SJR2,T24,ciliate round 14.00,0.11641695971823077
SJR2,T24,ciliate round 24.00,1.5037252418582803
SJR2,T24,ciliate round 40.00,0.043668174315152165
SJR2,T24,ciliate round 5.50,0.10924194480695544
SJR2,T24,ciliate round 9.50,0.3344249525305498
SJR2,T24,cyanobacteria aphanizomenon 19.73,0.40737990454816875
SJR2,T24,cyanobacteria dolichospermum 16.29,0.3925845147219193
SJR2,T24,diatom centric 10.87,0.53760771037892785
SJR2,T24,diatom centric 16.03,0.24727901795369833
SJR2,T24,diatom centric 28.05,0.08714607290889176
SJR2,T24,diatom centric 36.63,0.04371584699453552
SJR2,T24,diatom centric 6.30,2.9226160429498678
SJR2,T24,diatom other 11.54,0.043525571273122954
SJR2,T24,diatom pennate 12.93,0.04362050163576881
SJR2,T24,diatom pennate 15.30,0.08743169398907104
SJR2,T24,diatom pennate 3.91,0.2617230098146129
SJR2,T24,diatom pennate 4.16,0.4808743169398907
SJR2,T24,diatom pennate 4.93,0.7992363431590559
SJR2,T24,diatom pennate pleurosigma 15.76,0.13086150490730644
SJR2,T24,flagellate cryptomonas 10.43,0.4073485377580341
SJR2,T24,flagellate cryptomonas 11.54,0.08724100327153762
SJR2,T24,flagellate cryptomonas 4.20,0.7861241430159891
SJR2,T24,flagellate cryptomonas 7.25,0.784442198321169
SJR2,T24,flagellate other 4.20,7.287251321112593
SJR2,T24,flagellate other 7.25,0.40760196205583693
SJR2,T24,unidentified NA 10.00,0.15238696463725326
SJR2,T24,unidentified NA 3.91,0.043525571273122954
SJR2,T24,unidentified NA 38.56,0.043525571273122954
SJR2,T24,unidentified NA 4.76,1.2187159956474427
