samp_ev,exp,grp_typ,category,sa,la,wi,tot_ct,bmn_pgml,mn_ct
LSZ2,T24,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,3,1,1.0
LSZ2,T24,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,25,33,8.3
LSZ2,T24,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 4 80,4,80,,11,90,3.7
LSZ2,T24,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 120,8,120,,1,48,0.3
LSZ2,T24,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,5,159,1.7
LSZ2,T24,diatom centric,diatom centric 14 14,14,14,,49,51,16.3
LSZ2,T24,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,347,1276,115.7
LSZ2,T24,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,136,11,45.3
LSZ2,T24,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,203,65,67.7
LSZ2,T24,diatom chain,diatom chain 8 136,8,136,8,2,28,0.7
LSZ2,T24,diatom pennate,diatom pennate 2 20,2,20,2,159,7,53.0
LSZ2,T24,diatom pennate,diatom pennate 4 20,4,20,4,9,5,3.0
LSZ2,T24,diatom pennate,diatom pennate 4 96,4,96,4,1,3,0.3
LSZ2,T24,diatom pennate,diatom pennate 8 48,8,48,,1,5,0.3
LSZ2,T24,dinoflagellate peridinium,dinoflagellate peridinium 16 16,16,16,16,1,13,0.3
LSZ2,T24,dinoflagellate peridinium,dinoflagellate peridinium 24 24,24,24,24,1,41,0.3
LSZ2,T24,flagellate cryptomonas,flagellate cryptomonas 3.67 5.5,3.67,5.5,,856,60,285.3
LSZ2,T24,flagellate cryptomonas,flagellate cryptomonas 6.33 9.5,6.33,9.5,,190,68,63.3
LSZ2,T24,flagellate cryptomonas,flagellate cryptomonas 9 14,9,14,,16,27,5.3
LSZ2,T24,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,336,25,112.0
LSZ2,T24,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,17,10,5.7
LSZ2,T24,flagellate other,flagellate other 9 14,9,14,,2,7,0.7
LSZ2,T24,unidentified flagchloro,unidentified flagchloro 3 26,3,26,,42,42,14.0
LSZ2,T24,unidentified flagchloro,unidentified flagchloro 4 26,4,26,,84,144,28.0
LSZ2,T24,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,8,157,2.7
LSZ2,T24,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,381,60,127.0
LSZ2,T24,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,33,28,11.0
SJR1,FC,chlorophyte colonial,chlorophyte colonial 12 12,12,12,,1,6,0.3
SJR1,FC,chlorophyte colonial,chlorophyte colonial 24 24,24,24,,2,76,0.7
SJR1,FC,chlorophyte colonial,chlorophyte colonial 8 8,8,8,,6,11,2.0
SJR1,FC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 8,4,8,,3,1,1.0
SJR1,FC,ciliate cone,ciliate cone 24 24,24,24,,275,3144,91.7
SJR1,FC,ciliate cone,ciliate cone 32 36,32,36,,5,453,1.7
SJR1,FC,ciliate round,ciliate round 14 14,14,14,,186,863,62.0
SJR1,FC,ciliate round,ciliate round 24 24,24,24,,12,377,4.0
SJR1,FC,ciliate round,ciliate round 48 48,48,48,,1,487,0.3
SJR1,FC,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,112,30,37.3
SJR1,FC,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,71,109,23.7
SJR1,FC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 120,8,120,,6,317,2.0
SJR1,FC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,3,95,1.0
SJR1,FC,diatom centric,diatom centric 14 14,14,14,,93,104,31.0
SJR1,FC,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,871,3460,290.3
SJR1,FC,diatom centric,diatom centric 48 48,48,48,,3,335,1.0
SJR1,FC,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,385,30,128.3
SJR1,FC,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,744,215,248.0
SJR1,FC,diatom pennate,diatom pennate 16 104,16,104,16,1,45,0.3
