Organism,Group,type,name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1 site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2 T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Ciliate E: cone,ciliate,cone,cile,cone1,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
Ciliate F: cone,ciliate,cone,cilf,cone1,16,24,,20,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,4,29,19,,,
Ciliate G: cone,ciliate,cone,cilg,cone1,24,24,,,,,,,151,47,38,59,36,,129,,169,71,131,34,30,29,26,,207,17,156,20,212,65,41,64,55,,126,33,126,16,99,27,27,26,10,,116,22,3,8,156,47,77,70,114,,,,,,,,110,,100
Ciliate H:cone,ciliate,cone,cilh,cone1,24,40,,,,,,,1,,4,,,4,,,,,131,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciliate I: cone,ciliate,cone,cili,cone1,32,36,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,2,,,5,,,,,,3,,,4,,,,,,,
Ciliate J: cone,ciliate,cone,cilj,cone1,32,56,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Ciliate K: cone,ciliate,cone,cilk,cone1,40,48,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,1,3,,,
Ciliate L: oblong,ciliate,oblong,cill,prosph,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,
Ciliate M: oblong,ciliate,oblong,cilm,prosph,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,
Ciliate N: oblong,ciliate,oblong,ciln,prosph,8,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciliate O: oblong,ciliate,oblong,cilo,prosph,12,32,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,
Ciliate P: oblong,ciliate,oblong,cilp,prosph,12,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ciliate Q: oblong,ciliate,oblong,cilq,prosph,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,11,2,,,1,4,,,,
Ciliate R: oblong,ciliate,oblong,cilr,prosph,16,32,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciliate S: oblong,ciliate,oblong,cils,prosph,16,48,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,
Ciliate T: oblong,ciliate,oblong,cilt,prosph,20,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
Ciliate U: oblong,ciliate,oblong,cilu,prosph,40,56,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Ciliate V: oblong,ciliate,oblong,cilv,prosph,40,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ciliate W: oblong,ciliate,oblong,cilw,prosph,72,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Ciliate X: oblong,ciliate,oblong,cilx,prosph,80,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Ciliate Z: other,ciliate,other,cilz,prosph,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Ciliate AA: other,ciliate,other,cilaa,prosph,19.2,32,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciliate AC: other,ciliate,other,cilac,prosph,32,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Ciliate AD: other odd shape,ciliate,other odd shape,cilad,prosph,32,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
Ciliate AE: round,ciliate,round,cilae,sph,36,36,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,1,,,,
Ciliate AF: round,ciliate,round,cilaf,sph,40,40,,,,1,3,,,1,,1,4,,,,1,2,,4,1,,3,,,4,,,,,,,,,2,,1,,,1,,1,2,,,,,,,,,,,,6,,,21,3,,1,1,
Ciliate AG: round,ciliate,round,cilag,sph,48,48,,,,,,,,,,,,,,,1,,,,,1,,,,,,3,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,3
Ciliate AH:round,ciliate,round,cilah,sph,56,56,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Ciliate AI: round,ciliate,round,cilai,sph,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3,,,,2
Ciliate AJ: round 17 to 32 µm (0.2 to 0.4 mu),ciliate,round,cilaj,sph,24,24,,4,137,22,172,47,,,,,,46,8,49,,,7,,,7,8,12,13,3,,,5,,2,,,18,16,,,,9,,2,11,2,40,,1,3,4,9,5,4,9,,79,48,7,17,5,69,,,109,
Cyanobacteria D: aphanizomenon,cyanobacteria,aphanizomenon,cyand,cyl,4,56,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,
Cyanobacteria E: aphanizomenon,cyanobacteria,aphanizomenon,cyane,cyl,4,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria F: aphanizomenon,cyanobacteria,aphanizomenon,cyanf,cyl,4,80,,,,,,,,,,,,,,,,5,,,2,,,,,11,,,,,10,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
Cyanobacteria G: aphanizomenon,cyanobacteria,aphanizomenon,cyang,cyl,4,128,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,
Cyanobacteria I: aphanizomenon,cyanobacteria,aphanizomenon,cyani,cyl,6,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Cyanobacteria J: aphanizomenon,cyanobacteria,aphanizomenon,cyanj,cyl,6,160,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,
Cyanobacteria K: aphanizomenon,cyanobacteria,aphanizomenon,cyank,cyl,8,32,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,
Cyanobacteria L: aphanizomenon,cyanobacteria,aphanizomenon,cyanl,cyl,8,80,,,,15,30,7,,6,27,20,33,,17,,,,,,7,20,8,,12,,,,,5,,,,,54,18,43,,51,23,28,50,28,,,,,,3,,,,16,,7,48,,57,,,129,117,169
Cyanobacteria M: aphanizomenon,cyanobacteria,aphanizomenon,cyanm,cyl,8,120,,,,,,,64,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,130,,,
Cyanobacteria P: aphanizomenon,cyanobacteria,aphanizomenon,cyanp,cyl,8,320,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
Cyanobacteria R: dolichospermum,cyanobacteria,dolichospermum,cyanr,cyl,4,16,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria S: dolichospermum,cyanobacteria,dolichospermum,cyans,cyl,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,76
Cyanobacteria T: dolichospermum,cyanobacteria,dolichospermum,cyant,cyl,4,48,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Cyanobacteria U: dolichospermum,cyanobacteria,dolichospermum,cyanu,cyl,4,64,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,123,,,,
Cyanobacteria V: dolichospermum,cyanobacteria,dolichospermum,cyanv,cyl,4,80,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,9,,,,,,,,,,15,,,,,,,,,,,
Cyanobacteria W: dolichospermum,cyanobacteria,dolichospermum,cyanw,cyl,4,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,
Cyanobacteria X: dolichospermum,cyanobacteria,dolichospermum,cyanx,cyl,4,160,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria Y: dolichospermum,cyanobacteria,dolichospermum,cyany,cyl,4,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria Z: dolichospermum,cyanobacteria,dolichospermum,cyanz,cyl,6,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Cyanobacteria AA:dolichospermum,cyanobacteria,dolichospermum,cyanaa,cyl,6,56,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria AB: dolichospermum,cyanobacteria,dolichospermum,cyanab,cyl,6,64,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria AC: dolichospermum,cyanobacteria,dolichospermum,cyanac,cyl,6,80,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
Cyanobacteria AD: dolichospermum,cyanobacteria,dolichospermum,cyanad,cyl,6,200,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,5,,,
Cyanobacteria AE: dolichospermum,cyanobacteria,dolichospermum,cyanae,cyl,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,11,,1,,,,,,,,,,,
Cyanobacteria AF: dolichospermum,cyanobacteria,dolichospermum,cyanaf,cyl,8,80,,,,,10,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,16,,
Cyanobacteria AG: dolichospermum,cyanobacteria,dolichospermum,cyanag,cyl,8,144,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Cyanobacteria AH: other,cyanobacteria,other,cyanah,cyl,1.6,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Cyanobacteria AJ: other,cyanobacteria,other,cyanaj,cyl,4,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria AK: other,cyanobacteria,other,cyanak,cyl,4,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria AL: other,cyanobacteria,other,cyanal,cyl,4,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria AM: other,cyanobacteria,other,cyanam,cyl,4,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
Cyanobacteria AN: other,cyanobacteria,other,cyanan,cyl,6,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,8,,,,14,,,,,,,,,,,,,,,,,,,,
Cyanobacteria AO: other,cyanobacteria,other,cyanao,cyl,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Cyanobacteria AP: other,cyanobacteria,other,cyanap,cyl,8,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,,,,,,,,,,,,,,1,,,,,
Cyanobacteria AQ: other,cyanobacteria,other,cyanaq,cyl,8,168,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,5,,1,,,,
Diatom Z: centric,diatom,centric,diaz,cyl,32,32,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom AA: centric,diatom,centric,diaaa,cyl,40,40,,,,,,,,,2,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,40,,
Diatom AB: centric,diatom,centric,diaab,cyl,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,,,,,,,,,,,
Diatom AC: centric 17-32 µm,diatom,centric,diaac,cyl,24.5,24.5,,30,17,,14,2,19,2,19,32,27,28,14,3,13,,13,,9,18,12,,754,67,474,111,669,169,604,730,622,14,7,3,12,4,5,,,8,2,791,467,77,167,120,237,179,542,356,802,46,11,10,15,3,11,8,,29,29
Diatom AD: chain,diatom,chain,diaad,cyl,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,7,,,,
Diatom AE: chain,diatom,chain,diaae,cyl,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,105,,,,,,,,,
Diatom AF: chain,diatom,chain,diaaf,cyl,4,64,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Diatom AG: chain,diatom,chain,diaag,cyl,4,104,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Diatom AH: chain,diatom,chain,diaah,cyl,4,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,49
Diatom AI: chain,diatom,chain,diaai,cyl,6,176,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,
Diatom AJ: chain,diatom,chain,diaaj,cyl,6,248,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom AK: chain,diatom,chain,diaak,cyl,8,80,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,2,,,,,,,
Diatom AL: chain,diatom,chain,diaal,cyl,8,120,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Diatom AM: chain,diatom,chain,diaam,recbox,8,136,8,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom AN: chain,diatom,chain,diaan,cyl,8,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom AO: chain,diatom,chain,diaao,recbox,8,160,8,,,,,,,,,,4,1,,,,,,,,,,,9,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,28,,,,,,
Diatom AP: chain,diatom,chain,diaap,cyl,8,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Diatom AQ: chain,diatom,chain,diaaq,cyl,8,256,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,12,14
Diatom AR: chain,diatom,chain,diaar,cyl,8,408,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom AS: chain,diatom,chain,diaas,cyl,12,128,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom AU: chain,diatom,chain,diaau,cyl,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,14,,,,,1,1,,,
Diatom AV: chain,diatom,chain,diaav,cyl,16,240,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,4,2,5
Diatom AW: chain,diatom,chain,diaaw,cyl,24,64,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,
Diatom AX: chain,diatom,chain,diaax,cyl,32,1400,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom AZ: egg shaped,diatom,egg shaped,diaaz,prosph,16,32,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,
Diatom BA: egg shaped,diatom,egg shaped,diaba,prosph,32,48,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,4,
Diatom BB: egg shaped,diatom,egg shaped,diabb,prosph,32,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,1,,1,,,,,,3
Diatom BE: other,diatom,other,diabe,prosph,8,24,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Diatom BF: other,diatom,other,diabf,prosph,9.6,24,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom BG: other,diatom,other,diabg,prisell,16,32,16,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom BI: pennate,diatom,pennate,diabi,prisell,2,96,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4
Diatom BL: pennate,diatom,pennate,diabl,cyl,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,
Diatom BM: pennate,diatom,pennate,diabm,prisell,4,40,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,2,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Diatom BN: pennate,diatom,pennate,diabn,prisell,4,56,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,81
Diatom BO: pennate,diatom,pennate,diabo,prisell,4,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,86,15
Diatom BP: pennate,diatom,pennate,diabp,prisell,4,96,4,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,
Diatom BQ: pennate,diatom,pennate,diabq,prisell,4,120,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom BR: pennate,diatom,pennate,diabr,prisell,4,160,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,34,5,
Diatom BS: pennate,diatom,pennate,diabs,prisell,4,200,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
Diatom BT: pennate,diatom,pennate,diabt,prosph,4,240,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
Diatom BU: pennate,diatom,pennate,diabu,cyl,6,40,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
Diatom BV: pennate,diatom,pennate,diabv,cyl,6,48,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,8,,,,
Diatom BW: pennate,diatom,pennate,diabw,prisell,6,56,6,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Diatom BX: pennate,diatom,pennate,diabx,prisell,6,64,6,,,,,,,,,,,,,,,,,,7,,19,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
Diatom BY: pennate,diatom,pennate,diaby,prisell,6,72,6,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Diatom BZ: pennate,diatom,pennate,diabz,cyl,6,80,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom CA: pennate,diatom,pennate,diaca,cyl,6,120,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Diatom CB: pennate,diatom,pennate,diacb,prisell,6,160,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,11,16,
Diatom CC: pennate,diatom,pennate,diacc,prisell,6.4,36,6.4,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
