Organism,Group,type,name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1 site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2 T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Flagellate H: in a cone,flagellate,in a cone,flagh,sph,6,6,,,,,,,,,,,,,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified A1,unidentified,other,una1,cyl,2,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,27,,4,
Unidentified A2,unidentified,other,una2,cyl,3,8,,,,,,28,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified A3,unidentified,other,una3,prosph,4,8,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,11,,,115,6,,
Unidentified A4,unidentified,other,una4,prosph,6,14,,,7,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Unidentified A5,unidentified,other,una5,prosph,8,12,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Unidentified A6,unidentified,other,una6,sph,10,10,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified A7,unidentified,other,una7,sph,10,16,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified A8,unidentified,other,una8,sph,12,12,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified B1 flag/chloro,unidentified,flagchloro,unb1,cyl,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,42,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified B2 flag/chloro,unidentified,flagchloro,unb2,cyl,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,46,,,,,,,,,,,,,,,,,,31,,,,,,,
Unidentified B3 flag/chloro,unidentified,flagchloro,unb3,cyl,4,10,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,
Unidentified B4 flag/chloro,unidentified,flagchloro,unb4,cyl,4,12,,,,,,,,,,,,,4,,10,,,,,,,107,,,,,,,,,,,,,,,,,,,,85,,112,,89,,,,,,,116,,18,,,40,,,
Unidentified B5 flag/chloro,unidentified,flagchloro,unb5,cyl,4,20,,,,,,,,,,,,,,,,,22,,38,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,3,,,,,,,,,
Unidentified B6 flag/chloro,unidentified,flagchloro,unb6,cyl,4,26,,,,,,,,,,,,,,,,,,,,,,,37,84,20,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,
Unidentified Round A: 4 to 7 µm,unidentified,round,unrna,sph,5.5,5.5,,142,146,74,79,38,52,34,145,159,193,242,191,183,200,274,270,271,163,209,162,119,118,125,64,123,168,133,106,87,209,108,413,271,268,212,260,267,100,159,117,154,112,102,107,136,204,127,223,90,135,32,113,181,168,152,127,374,112,92,108
Unidentified Round B: 8 to 11 µm,unidentified,round,unrnb,sph,9.5,9.5,,29,25,7,17,10,11,7,36,33,29,62,14,18,14,11,25,14,7,20,20,112,38,13,17,16,8,4,16,2,15,70,56,13,16,14,39,27,17,20,27,,22,20,44,9,12,15,35,19,26,16,15,20,23,15,50,109,37,61,103
Unidentified Round C: 12 to 16 µm,unidentified,round,unrnc,sph,14,14,,,,,,,,,4,,4,25,,,,,,,,,,14,,,,,,,,,,,3,,,8,7,3,,,,,,2,13,5,2,4,1,,,10,6,9,16,10,31,6,12,10,30
